t_beep,event,type,axis_chosen,onset_time,hold_time,onset_score,dtheta,max_pitch,max_roll
1760630304.921586,BEEP_SLOUCH,normal_slouch,fallback,nan,nan,0.0,0.0,6.860480704448185,23.34939854764272
1760630309.421586,BEEP_RECOVER,normal_slouch,roll,1760630311.049033,1760630312.823154,3.104906570745933,10.867172997610766,5.655707054834354,26.023265973206918
1760630318.692586,BEEP_SLOUCH,fast_slouch,fallback,nan,nan,0.0,0.0,4.437702452435277,25.856118385768013
1760630323.192586,BEEP_RECOVER,fast_slouch,roll,1760630325.021022,1760630325.99236,2.475677038313425,8.664869634096988,4.5338205092113775,23.859474416253136
1760630334.192586,BEEP_SLOUCH,micro_slouch,roll,1760630335.473583,1760630336.890315,1.0549687687680842,1.8092714384372641,3.2310947869088205,13.487444248154816
1760630338.692586,BEEP_RECOVER,micro_slouch,roll,1760630340.341232,1760630342.357472,1.526238139775314,5.341833489213599,4.505887807483887,20.000089147663317
1760630349.088586,BEEP_SLOUCH,lateral_left,pitch,1760630350.592974,1760630353.07451,1.9206548242809922,5.646725183386116,35.50022199201507,7.990295353239418
1760630353.588586,BEEP_RECOVER,lateral_left,pitch,1760630355.340119,1760630356.749465,1.4408497424165034,8.64509845449902,39.40737462907056,9.832512378107964
1760630365.115586,BEEP_SLOUCH,lateral_right,fallback,nan,nan,0.0,0.0,23.32052619811407,4.674281423419501
1760630369.615586,BEEP_RECOVER,lateral_right,pitch,1760630371.373993,1760630371.986858,1.2098931118694967,7.2593586712169795,25.29136933981203,9.458835622504353
1760630379.995586,BEEP_SLOUCH,neck_only,fallback,nan,nan,0.0,0.0,7.475209190042927,47.70171661018837
1760630384.495586,BEEP_RECOVER,neck_only,roll,1760630386.11272,1760630387.049733,4.663374678943577,16.32181137630252,9.44449072379832,49.39300060069117
1760630395.426586,BEEP_SLOUCH,reach_left,fallback,nan,nan,0.0,0.0,15.053746724295674,9.652215081192338
1760630399.926586,BEEP_RECOVER,reach_left,pitch,1760630401.592688,1760630402.559723,2.011547877273794,12.069287263642764,21.188395908468365,2.8050600209727747
1760630408.816586,BEEP_SLOUCH,reach_right,roll,1760630410.153544,1760630412.339028,1.5135019691594493,5.297256892058073,6.440290279625414,10.91985565022651
1760630413.316586,BEEP_RECOVER,reach_right,fallback,nan,nan,0.0,0.0,5.078124451207159,4.620166699586946
1760630424.486586,BEEP_SLOUCH,normal_slouch,fallback,nan,nan,0.0,0.0,1.5970977109355005,10.580374514422289
1760630428.986586,BEEP_RECOVER,normal_slouch,roll,1760630430.793433,1760630432.09224,1.3059344862753415,2.23967764396221,2.163310456507708,12.436426494857074
1760630438.702586,BEEP_SLOUCH,fast_slouch,fallback,nan,nan,0.0,0.0,2.311781439530969,25.688358795953917
1760630443.202586,BEEP_RECOVER,fast_slouch,roll,1760630444.94788,1760630446.596981,2.5330592704271697,8.865707446495094,3.9932670406982433,24.835563653009956
