t_beep,event,type,onset_event,onset_time,hold_event,hold_time
1763541762.062584,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763541762.012584,SLOUCHED_HOLD_START,1763541762.962584
1763541766.562584,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763541766.512584,UPRIGHT_HOLD_START,1763541767.462584
1763541775.833584,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1763541775.783584,SLOUCHED_HOLD_START,1763541776.733584
1763541780.333584,BEEP_RECOVER,fast_slouch,RECOVERY_START,1763541780.283584,UPRIGHT_HOLD_START,1763541781.233584
1763541791.333584,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1763541791.283584,SLOUCHED_HOLD_START,1763541792.233584
1763541795.833584,BEEP_RECOVER,micro_slouch,RECOVERY_START,1763541795.783584,UPRIGHT_HOLD_START,1763541796.733584
1763541806.229584,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1763541806.179584,NOSLOUCHED_HOLD_START,1763541807.129584
1763541810.729584,BEEP_RECOVER,lateral_left,RECOVERY_START,1763541810.679584,UPRIGHT_HOLD_START,1763541811.629584
1763541822.256584,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1763541822.206584,NOSLOUCHED_HOLD_START,1763541823.156584
1763541826.756584,BEEP_RECOVER,lateral_right,RECOVERY_START,1763541826.706584,UPRIGHT_HOLD_START,1763541827.656584
1763541837.136584,BEEP_SLOUCH,neck_only,SLOUCH_START,1763541837.086584,SLOUCHED_HOLD_START,1763541838.036584
1763541841.636584,BEEP_RECOVER,neck_only,RECOVERY_START,1763541841.586584,UPRIGHT_HOLD_START,1763541842.536584
1763541852.567584,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1763541852.517584,NOSLOUCHED_HOLD_START,1763541853.467584
1763541857.067584,BEEP_RECOVER,reach_left,RECOVERY_START,1763541857.017584,UPRIGHT_HOLD_START,1763541857.967584
1763541865.957584,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1763541865.907584,NOSLOUCHED_HOLD_START,1763541866.857584
1763541870.457584,BEEP_RECOVER,reach_right,RECOVERY_START,1763541870.407584,UPRIGHT_HOLD_START,1763541871.357584
1763541881.627584,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763541881.577584,SLOUCHED_HOLD_START,1763541882.527584
1763541886.127584,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763541886.077584,UPRIGHT_HOLD_START,1763541887.027584
1763541895.843584,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1763541895.793584,SLOUCHED_HOLD_START,1763541896.743584
1763541900.343584,BEEP_RECOVER,fast_slouch,RECOVERY_START,1763541900.293584,UPRIGHT_HOLD_START,1763541901.243584
1763541911.220584,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1763541911.170584,SLOUCHED_HOLD_START,1763541912.120584
1763541915.720584,BEEP_RECOVER,micro_slouch,RECOVERY_START,1763541915.670584,UPRIGHT_HOLD_START,1763541916.620584
1763541926.794584,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1763541926.744584,NOSLOUCHED_HOLD_START,1763541927.694584
1763541931.294584,BEEP_RECOVER,lateral_left,RECOVERY_START,1763541931.244584,UPRIGHT_HOLD_START,1763541932.194584
1763541940.836584,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1763541940.786584,NOSLOUCHED_HOLD_START,1763541941.736584
1763541945.336584,BEEP_RECOVER,lateral_right,RECOVERY_START,1763541945.286584,UPRIGHT_HOLD_START,1763541946.236584
1763541956.181584,BEEP_SLOUCH,neck_only,SLOUCH_START,1763541956.131584,SLOUCHED_HOLD_START,1763541957.081584
1763541960.681584,BEEP_RECOVER,neck_only,RECOVERY_START,1763541960.631584,UPRIGHT_HOLD_START,1763541961.581584
1763541972.083584,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1763541972.033584,NOSLOUCHED_HOLD_START,1763541972.983584
1763541976.583584,BEEP_RECOVER,reach_left,RECOVERY_START,1763541976.533584,UPRIGHT_HOLD_START,1763541977.483584
1763541986.873584,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1763541986.823584,NOSLOUCHED_HOLD_START,1763541987.773584
1763541991.373584,BEEP_RECOVER,reach_right,RECOVERY_START,1763541991.323584,UPRIGHT_HOLD_START,1763541992.273584
1763542001.224584,BEEP_SLOUCH,normal_slouch,SLOUCH_START,1763542001.174584,SLOUCHED_HOLD_START,1763542002.124584
1763542005.724584,BEEP_RECOVER,normal_slouch,RECOVERY_START,1763542005.674584,UPRIGHT_HOLD_START,1763542006.624584
1763542016.962584,BEEP_SLOUCH,fast_slouch,SLOUCH_START,1763542016.912584,SLOUCHED_HOLD_START,1763542017.862584
1763542021.462584,BEEP_RECOVER,fast_slouch,RECOVERY_START,1763542021.412584,UPRIGHT_HOLD_START,1763542022.362584
1763542032.402584,BEEP_SLOUCH,micro_slouch,SLOUCH_START,1763542032.352584,SLOUCHED_HOLD_START,1763542033.302584
1763542036.902584,BEEP_RECOVER,micro_slouch,RECOVERY_START,1763542036.852584,UPRIGHT_HOLD_START,1763542037.802584
1763542045.796584,BEEP_SLOUCH,lateral_left,NOSLOUCH_START,1763542045.746584,NOSLOUCHED_HOLD_START,1763542046.696584
1763542050.296584,BEEP_RECOVER,lateral_left,RECOVERY_START,1763542050.246584,UPRIGHT_HOLD_START,1763542051.196584
1763542062.395584,BEEP_SLOUCH,lateral_right,NOSLOUCH_START,1763542062.345584,NOSLOUCHED_HOLD_START,1763542063.295584
1763542066.895584,BEEP_RECOVER,lateral_right,RECOVERY_START,1763542066.845584,UPRIGHT_HOLD_START,1763542067.795584
1763542077.179584,BEEP_SLOUCH,neck_only,SLOUCH_START,1763542077.129584,SLOUCHED_HOLD_START,1763542078.079584
1763542081.679584,BEEP_RECOVER,neck_only,RECOVERY_START,1763542081.629584,UPRIGHT_HOLD_START,1763542082.579584
1763542091.464584,BEEP_SLOUCH,reach_left,NOSLOUCH_START,1763542091.414584,NOSLOUCHED_HOLD_START,1763542092.364584
1763542095.964584,BEEP_RECOVER,reach_left,RECOVERY_START,1763542095.914584,UPRIGHT_HOLD_START,1763542096.864584
1763542106.094584,BEEP_SLOUCH,reach_right,NOSLOUCH_START,1763542106.044584,NOSLOUCHED_HOLD_START,1763542106.994584
1763542110.594584,BEEP_RECOVER,reach_right,RECOVERY_START,1763542110.544584,UPRIGHT_HOLD_START,1763542111.494584
